name,bpp,Y,U,V,en_time,de_time,ptNum
Data/MPEG/MPEGCat1A/Facade_00009_vox12.ply,2.11087,40.43628,46.12178,44.31578,3.15971,3.14147,1596085
Data/MPEG/MPEGCat1A/Facade_00009_vox12.ply,1.72462,38.82903,45.22756,43.33002,3.30926,3.11249,1596085
Data/MPEG/MPEGCat1A/Facade_00009_vox12.ply,1.45325,37.57027,44.49544,42.57361,3.26837,3.14173,1596085
Data/MPEG/MPEGCat1A/Facade_00009_vox12.ply,1.09289,35.67254,43.40313,41.49294,3.16145,3.09701,1596085
Data/MPEG/MPEGCat1A/Facade_00009_vox12.ply,0.71389,33.18527,41.91175,40.19624,3.16127,3.15015,1596085
Data/MPEG/MPEGCat1A/Facade_00009_vox12.ply,0.51785,31.55018,40.92006,39.40043,3.37703,3.07879,1596085
Data/MPEG/MPEGCat1A/Facade_00009_vox12.ply,0.32402,29.38124,39.67934,38.44507,3.24733,3.16895,1596085
Data/MPEG/MPEGCat1A/Facade_00009_vox12.ply,0.23056,27.91382,38.96847,37.87005,3.35655,3.1408,1596085
Data/MPEG/MPEGCat1A/Facade_00009_vox12.ply,0.09863,24.62581,37.66116,36.7774,3.41378,3.16862,1596085
Data/MPEG/MPEGCat1A/Facade_00009_vox12.ply,0.04703,22.1879,36.88709,36.15062,3.48598,3.15597,1596085
