name,bpp,Y,U,V,en_time,de_time,ptNum
Data/MPEG/MPEGCat1A/House_without_roof_00057_vox12.ply,1.50882,41.27631,45.68368,46.34669,8.89666,8.54225,4848745
Data/MPEG/MPEGCat1A/House_without_roof_00057_vox12.ply,1.21099,39.78437,44.83932,45.57113,8.76956,8.51994,4848745
Data/MPEG/MPEGCat1A/House_without_roof_00057_vox12.ply,1.00604,38.59924,44.20248,45.01701,8.76692,8.64393,4848745
Data/MPEG/MPEGCat1A/House_without_roof_00057_vox12.ply,0.73934,36.78819,43.29982,44.23349,8.5488,8.61697,4848745
Data/MPEG/MPEGCat1A/House_without_roof_00057_vox12.ply,0.45797,34.3643,42.20771,43.3551,8.72697,8.55376,4848745
Data/MPEG/MPEGCat1A/House_without_roof_00057_vox12.ply,0.31161,32.78793,41.52902,42.83995,8.81977,8.59403,4848745
Data/MPEG/MPEGCat1A/House_without_roof_00057_vox12.ply,0.16747,30.83827,40.71983,42.27008,8.77484,8.43665,4848745
Data/MPEG/MPEGCat1A/House_without_roof_00057_vox12.ply,0.1019,29.66929,40.22021,41.94603,8.49347,8.52989,4848745
Data/MPEG/MPEGCat1A/House_without_roof_00057_vox12.ply,0.03019,27.52733,39.10709,41.1863,8.74818,8.48395,4848745
Data/MPEG/MPEGCat1A/House_without_roof_00057_vox12.ply,0.01155,26.15014,38.15916,40.67044,8.81711,8.53394,4848745
