name,bpp,Y,U,V,en_time,de_time,ptNum
Data/MPEG/MPEGCat1A/Shiva_00035_vox12.ply,4.30364,39.82275,41.59157,42.01511,2.54151,2.41802,1009132
Data/MPEG/MPEGCat1A/Shiva_00035_vox12.ply,3.6233,37.97131,40.26217,40.86227,2.46127,2.44254,1009132
Data/MPEG/MPEGCat1A/Shiva_00035_vox12.ply,3.12664,36.4793,39.25971,40.03143,2.44022,2.42762,1009132
Data/MPEG/MPEGCat1A/Shiva_00035_vox12.ply,2.44683,34.15818,37.82294,38.88377,2.39232,2.42948,1009132
Data/MPEG/MPEGCat1A/Shiva_00035_vox12.ply,1.6733,31.02547,36.10371,37.5381,2.38103,2.41867,1009132
Data/MPEG/MPEGCat1A/Shiva_00035_vox12.ply,1.23807,28.91367,35.11693,36.74606,2.38801,2.37635,1009132
Data/MPEG/MPEGCat1A/Shiva_00035_vox12.ply,0.75538,26.2363,33.91142,35.75447,2.45467,2.36233,1009132
Data/MPEG/MPEGCat1A/Shiva_00035_vox12.ply,0.49986,24.56682,33.1937,35.11479,2.36993,2.37033,1009132
Data/MPEG/MPEGCat1A/Shiva_00035_vox12.ply,0.14336,21.45059,31.67469,33.76929,2.34006,2.44495,1009132
Data/MPEG/MPEGCat1A/Shiva_00035_vox12.ply,0.04791,19.83135,30.58445,32.93893,2.34428,2.42091,1009132
