name,bpp,Y,U,V,en_time,de_time,ptNum
Data/MPEG/MPEGCat1A/ULB_Unicorn_vox13.ply,1.74131,42.77584,47.48455,46.91486,40.73287,37.444,1995189
Data/MPEG/MPEGCat1A/ULB_Unicorn_vox13.ply,1.47765,41.17275,46.34501,45.65604,37.67148,24.8938,1995189
Data/MPEG/MPEGCat1A/ULB_Unicorn_vox13.ply,1.28546,39.89054,45.42728,44.64922,37.21817,44.4693,1995189
Data/MPEG/MPEGCat1A/ULB_Unicorn_vox13.ply,1.02139,37.91477,44.0225,43.1229,37.15028,28.73634,1995189
Data/MPEG/MPEGCat1A/ULB_Unicorn_vox13.ply,0.72105,35.2045,42.14109,41.10237,43.2388,41.09512,1995189
Data/MPEG/MPEGCat1A/ULB_Unicorn_vox13.ply,0.55311,33.34673,40.87447,39.76351,36.39426,26.68778,1995189
Data/MPEG/MPEGCat1A/ULB_Unicorn_vox13.ply,0.36891,30.79981,39.17076,38.01698,39.8911,41.29141,1995189
Data/MPEG/MPEGCat1A/ULB_Unicorn_vox13.ply,0.26752,29.08719,38.01151,36.86645,38.14168,28.15935,1995189
Data/MPEG/MPEGCat1A/ULB_Unicorn_vox13.ply,0.10291,25.31615,35.45719,34.28424,37.42761,41.3004,1995189
Data/MPEG/MPEGCat1A/ULB_Unicorn_vox13.ply,0.04277,23.04209,33.64664,32.36412,37.11418,28.16648,1995189
