name,bpp,Y,U,V,en_time,de_time,ptNum
Data/MPEG/MPEGCat1A/queen_0200.ply,0.70438,43.13845,49.09055,48.62612,3.10642,1.56917,1000993
Data/MPEG/MPEGCat1A/queen_0200.ply,0.54768,41.97859,48.3832,47.8576,1.62325,1.55457,1000993
Data/MPEG/MPEGCat1A/queen_0200.ply,0.4461,41.06031,47.79723,47.24771,1.43244,1.4539,1000993
Data/MPEG/MPEGCat1A/queen_0200.ply,0.32302,39.66114,46.89542,46.26643,1.45655,1.46344,1000993
Data/MPEG/MPEGCat1A/queen_0200.ply,0.20295,37.73957,45.5267,44.83879,1.42441,1.46282,1000993
Data/MPEG/MPEGCat1A/queen_0200.ply,0.14156,36.47301,44.57807,43.76161,1.42557,1.44124,1000993
Data/MPEG/MPEGCat1A/queen_0200.ply,0.08364,34.83807,43.06332,42.18254,1.41361,1.43191,1000993
Data/MPEG/MPEGCat1A/queen_0200.ply,0.05802,33.76427,41.94781,41.01461,1.41616,1.41803,1000993
Data/MPEG/MPEGCat1A/queen_0200.ply,0.02394,31.2418,39.35112,38.29895,1.4173,1.46708,1000993
Data/MPEG/MPEGCat1A/queen_0200.ply,0.01223,29.3106,37.23878,36.08258,1.41495,1.50438,1000993
