name,bpp,Y,U,V,en_time,de_time,ptNum
Data/MPEG/MPEGCat1B/Staue_Klimt_vox12.ply,3.02515,40.62518,42.41594,43.27423,1.43199,1.44013,499660
Data/MPEG/MPEGCat1B/Staue_Klimt_vox12.ply,2.49988,38.95401,41.14972,42.0619,1.38811,1.50033,499660
Data/MPEG/MPEGCat1B/Staue_Klimt_vox12.ply,2.11952,37.59858,40.17731,41.13725,1.40966,1.41089,499660
Data/MPEG/MPEGCat1B/Staue_Klimt_vox12.ply,1.60648,35.53021,38.76978,39.76595,1.48608,1.42372,499660
Data/MPEG/MPEGCat1B/Staue_Klimt_vox12.ply,1.056,32.81377,36.98092,38.0293,1.38218,1.4087,499660
Data/MPEG/MPEGCat1B/Staue_Klimt_vox12.ply,0.76662,31.00164,35.82941,36.9269,1.41355,1.38102,499660
Data/MPEG/MPEGCat1B/Staue_Klimt_vox12.ply,0.46302,28.56272,34.35372,35.53703,1.40488,1.44851,499660
Data/MPEG/MPEGCat1B/Staue_Klimt_vox12.ply,0.30952,27.0361,33.36026,34.62119,1.44153,1.4123,499660
Data/MPEG/MPEGCat1B/Staue_Klimt_vox12.ply,0.11398,24.01291,31.12002,32.79308,1.3787,1.41239,499660
Data/MPEG/MPEGCat1B/Staue_Klimt_vox12.ply,0.04643,21.94193,29.41238,31.45625,1.39674,1.37937,499660
