name,bpp,Y,U,V,en_time,de_time,ptNum
Data/Owlii/basketball_player_vox11/basketball_player_vox11_00000001.ply,0.49379,43.17532,47.01946,51.44627,3.91563,3.87706,2880057
Data/Owlii/basketball_player_vox11/basketball_player_vox11_00000001.ply,0.35037,42.216,46.29699,50.95591,3.95027,3.75537,2880057
Data/Owlii/basketball_player_vox11/basketball_player_vox11_00000001.ply,0.26627,41.50703,45.79015,50.55926,3.9138,3.7482,2880057
Data/Owlii/basketball_player_vox11/basketball_player_vox11_00000001.ply,0.17641,40.48196,45.0931,49.92515,3.92564,3.80093,2880057
Data/Owlii/basketball_player_vox11/basketball_player_vox11_00000001.ply,0.10326,39.07966,44.31982,48.98521,3.77165,3.74336,2880057
Data/Owlii/basketball_player_vox11/basketball_player_vox11_00000001.ply,0.07203,38.06515,43.87058,48.25295,3.83772,3.76695,2880057
Data/Owlii/basketball_player_vox11/basketball_player_vox11_00000001.ply,0.04386,36.58443,43.28585,47.15522,3.93441,3.79444,2880057
Data/Owlii/basketball_player_vox11/basketball_player_vox11_00000001.ply,0.03106,35.53273,42.89692,46.35548,4.05762,3.74816,2880057
Data/Owlii/basketball_player_vox11/basketball_player_vox11_00000001.ply,0.01375,32.94501,42.03842,44.45043,3.7802,3.73496,2880057
Data/Owlii/basketball_player_vox11/basketball_player_vox11_00000001.ply,0.00728,30.81646,41.19991,42.8646,3.83373,3.71804,2880057
