name,bpp,Y,U,V,en_time,de_time,ptNum
Data/Owlii/dancer_vox11/dancer_vox11_00000001.ply,0.46129,43.19286,47.93266,51.80722,3.71074,3.41621,2592758
Data/Owlii/dancer_vox11/dancer_vox11_00000001.ply,0.3359,42.26101,47.33637,51.33239,3.6949,3.60812,2592758
Data/Owlii/dancer_vox11/dancer_vox11_00000001.ply,0.2617,41.54749,46.89567,50.95799,3.6328,3.40549,2592758
Data/Owlii/dancer_vox11/dancer_vox11_00000001.ply,0.18043,40.4688,46.26731,50.34498,3.8272,3.47845,2592758
Data/Owlii/dancer_vox11/dancer_vox11_00000001.ply,0.11118,38.93927,45.49636,49.40993,3.53262,3.47728,2592758
Data/Owlii/dancer_vox11/dancer_vox11_00000001.ply,0.07932,37.81478,45.00903,48.75832,3.61892,3.46814,2592758
Data/Owlii/dancer_vox11/dancer_vox11_00000001.ply,0.04957,36.21723,44.34977,47.76377,3.77457,3.44007,2592758
Data/Owlii/dancer_vox11/dancer_vox11_00000001.ply,0.03542,35.09762,43.90997,46.95127,3.57542,3.39701,2592758
Data/Owlii/dancer_vox11/dancer_vox11_00000001.ply,0.01631,32.37343,42.76039,44.84664,3.54967,3.42865,2592758
Data/Owlii/dancer_vox11/dancer_vox11_00000001.ply,0.00858,30.17839,41.80362,43.07275,3.61815,3.40576,2592758
