name,bpp,Y,U,V,en_time,de_time,ptNum
Data/Owlii/exercise_vox11/exercise_vox11_00000001.ply,0.56246,42.52284,46.92127,50.01337,3.45774,3.17999,2391718
Data/Owlii/exercise_vox11/exercise_vox11_00000001.ply,0.39425,41.42331,46.32966,49.64457,3.31477,3.15107,2391718
Data/Owlii/exercise_vox11/exercise_vox11_00000001.ply,0.29224,40.61855,45.91568,49.36481,3.51314,3.20643,2391718
Data/Owlii/exercise_vox11/exercise_vox11_00000001.ply,0.18147,39.48803,45.35318,48.94897,3.56137,3.28043,2391718
Data/Owlii/exercise_vox11/exercise_vox11_00000001.ply,0.09263,38.11706,44.66579,48.41201,3.38222,3.29003,2391718
Data/Owlii/exercise_vox11/exercise_vox11_00000001.ply,0.05877,37.26812,44.24433,47.97587,3.32433,3.26386,2391718
Data/Owlii/exercise_vox11/exercise_vox11_00000001.ply,0.03232,36.18818,43.69836,47.29513,3.42931,3.23551,2391718
Data/Owlii/exercise_vox11/exercise_vox11_00000001.ply,0.02241,35.45435,43.35192,46.77071,3.33197,3.22657,2391718
Data/Owlii/exercise_vox11/exercise_vox11_00000001.ply,0.00958,33.58428,42.45377,45.33794,3.57903,3.3301,2391718
Data/Owlii/exercise_vox11/exercise_vox11_00000001.ply,0.00499,32.0008,41.45288,43.8907,3.44029,3.20595,2391718
