name,bpp,Y,U,V,en_time,de_time,ptNum
Data/Owlii/model_vox11/model_vox11_00000001.ply,0.75288,42.91683,47.29931,50.46938,3.43394,3.2578,2458429
Data/Owlii/model_vox11/model_vox11_00000001.ply,0.57938,41.73573,46.40531,49.73743,3.42514,3.19062,2458429
Data/Owlii/model_vox11/model_vox11_00000001.ply,0.46632,40.81271,45.73521,49.14901,3.39785,3.33098,2458429
Data/Owlii/model_vox11/model_vox11_00000001.ply,0.32984,39.40509,44.78363,48.21555,3.51921,3.36339,2458429
Data/Owlii/model_vox11/model_vox11_00000001.ply,0.20215,37.50552,43.64962,46.8858,3.64739,3.30608,2458429
Data/Owlii/model_vox11/model_vox11_00000001.ply,0.14206,36.19446,42.98187,45.90988,3.33913,3.28695,2458429
Data/Owlii/model_vox11/model_vox11_00000001.ply,0.08677,34.40548,42.17415,44.53203,3.59871,3.25459,2458429
Data/Owlii/model_vox11/model_vox11_00000001.ply,0.06141,33.15783,41.67356,43.61,3.47802,3.32469,2458429
Data/Owlii/model_vox11/model_vox11_00000001.ply,0.02689,30.22863,40.56367,41.43662,3.39002,3.17952,2458429
Data/Owlii/model_vox11/model_vox11_00000001.ply,0.01325,28.00726,39.60813,39.7189,3.55273,3.23423,2458429
