name,bpp,Y,U,V,en_time,de_time,ptNum
Data/8iVSLF/Static/boxer_viewdep_vox12.ply,0.299,44.82616,52.15296,52.65136,6.37472,6.20723,3493085
Data/8iVSLF/Static/boxer_viewdep_vox12.ply,0.2249,43.7622,51.65107,52.19984,6.64154,6.41788,3493085
Data/8iVSLF/Static/boxer_viewdep_vox12.ply,0.17776,42.9077,51.2777,51.86169,6.34491,6.2856,3493085
Data/8iVSLF/Static/boxer_viewdep_vox12.ply,0.12213,41.64074,50.74357,51.34693,6.63186,6.35798,3493085
Data/8iVSLF/Static/boxer_viewdep_vox12.ply,0.06999,39.97939,50.02845,50.59435,6.36694,6.18648,3493085
Data/8iVSLF/Static/boxer_viewdep_vox12.ply,0.04739,38.93315,49.46874,49.97525,6.3154,6.34082,3493085
Data/8iVSLF/Static/boxer_viewdep_vox12.ply,0.02788,37.5865,48.56784,48.99762,6.46958,6.29367,3493085
Data/8iVSLF/Static/boxer_viewdep_vox12.ply,0.01965,36.68232,47.87873,48.161,6.4304,6.26239,3493085
Data/8iVSLF/Static/boxer_viewdep_vox12.ply,0.00903,34.43538,45.88543,45.99501,6.55793,6.29067,3493085
Data/8iVSLF/Static/boxer_viewdep_vox12.ply,0.00493,32.38764,43.98866,43.92058,6.57853,6.21185,3493085
