name,bpp,Y,U,V,en_time,de_time,ptNum
Data/8iVSLF/Static/redandblack_viewdep_vox12.ply,0.66486,44.73457,47.62704,46.80558,5.28403,4.99328,2770567
Data/8iVSLF/Static/redandblack_viewdep_vox12.ply,0.51075,43.58555,46.70036,45.68938,5.45554,5.08337,2770567
Data/8iVSLF/Static/redandblack_viewdep_vox12.ply,0.41097,42.69068,45.96975,44.81285,5.25073,4.98922,2770567
Data/8iVSLF/Static/redandblack_viewdep_vox12.ply,0.29144,41.33904,44.866,43.48416,5.3064,4.96012,2770567
Data/8iVSLF/Static/redandblack_viewdep_vox12.ply,0.18033,39.50813,43.49842,41.61294,5.26392,4.98057,2770567
Data/8iVSLF/Static/redandblack_viewdep_vox12.ply,0.12899,38.24184,42.69209,40.28918,5.33568,4.95887,2770567
Data/8iVSLF/Static/redandblack_viewdep_vox12.ply,0.08085,36.4994,41.68753,38.31454,5.23482,4.99859,2770567
Data/8iVSLF/Static/redandblack_viewdep_vox12.ply,0.05787,35.37801,41.04163,36.94469,5.12987,4.91761,2770567
Data/8iVSLF/Static/redandblack_viewdep_vox12.ply,0.02562,32.92122,39.51056,33.44698,5.17595,5.02224,2770567
Data/8iVSLF/Static/redandblack_viewdep_vox12.ply,0.01288,31.11354,38.28389,30.74367,5.2366,5.02204,2770567
