name,bpp,Y,U,V,en_time,de_time,ptNum
Data/8iVSLF/Static/soldier_viewdep_vox12.ply,0.46348,44.25709,52.37133,53.39002,8.90312,7.77509,4001754
Data/8iVSLF/Static/soldier_viewdep_vox12.ply,0.36886,43.04484,51.62924,52.64869,7.69412,7.58405,4001754
Data/8iVSLF/Static/soldier_viewdep_vox12.ply,0.30648,42.06011,51.0373,52.05204,7.58156,7.4479,4001754
Data/8iVSLF/Static/soldier_viewdep_vox12.ply,0.2279,40.52735,50.11869,51.15763,7.81053,7.38755,4001754
Data/8iVSLF/Static/soldier_viewdep_vox12.ply,0.15003,38.41744,48.96259,49.9789,7.71231,7.31729,4001754
Data/8iVSLF/Static/soldier_viewdep_vox12.ply,0.11094,36.93325,48.16418,49.16008,7.57709,7.30277,4001754
Data/8iVSLF/Static/soldier_viewdep_vox12.ply,0.07138,34.89715,47.09182,48.05084,7.52478,7.43393,4001754
Data/8iVSLF/Static/soldier_viewdep_vox12.ply,0.05131,33.51147,46.34608,47.2796,7.95267,7.54123,4001754
Data/8iVSLF/Static/soldier_viewdep_vox12.ply,0.02147,30.39429,44.67427,45.28672,7.58934,7.47332,4001754
Data/8iVSLF/Static/soldier_viewdep_vox12.ply,0.00969,28.20497,43.52344,43.93648,7.80008,7.39453,4001754
